"package","artifact_group","fragment_type","fragment_id","included","relative_path","source_path","bytes","sha256","notes"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N02/shacl_shapes.ttl","public_repo/case_studies/financial_methodology/backend_projection/definitions/N02/shacl_shapes.ttl","874","8C5180F9DDCE95CE968E7699ECB68673FE3245D2E3A83A5A9C97352902A4A921","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N03/owl.check.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N03/owl.check.json","170","E4142197E7C0347928C4578366BC1C9D6786759A5246A8287BEAFF85E4708768","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N03/owl.emission.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N03/owl.emission.json","199","EC02589D780B1B3FCAD59E3DC4B64CA9700F92827DBEC22432E37FCB19AD99BC","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N03/owl.ttl","public_repo/case_studies/financial_methodology/backend_projection/definitions/N03/owl.ttl","751","CD6B3AD701E922B2A4AB287CD9570A43A4DA2E74E63B728BC0A73EE304BDEA3F","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N03/rdf.check.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N03/rdf.check.json","99","6556719B215DA6DAB31A9FB488326F505D3D663E5DE26249F43E1DFFC4EFC77C","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N03/rdf.emission.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N03/rdf.emission.json","199","761BD1C499171560B0F524B0464F35CA3937A39EDFDB216DCC0B08DDC949EA46","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N03/rdf.ttl","public_repo/case_studies/financial_methodology/backend_projection/definitions/N03/rdf.ttl","1604","5AC1262C536A4D2A8982AC3A158035D7E3F281CC73C2A4C0537FB763EBD5EC29","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N03/shacl.check.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N03/shacl.check.json","187","AECBC560044BBF15105DAED6F761717D0FE1833EFE3607A82BB034DDA6B578E9","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N03/shacl.emission.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N03/shacl.emission.json","210","455528D4D7E8386F90677CD9759E806F65AF76A5ED7F108D2378CD9D8D74914E","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N03/shacl_shapes.ttl","public_repo/case_studies/financial_methodology/backend_projection/definitions/N03/shacl_shapes.ttl","842","5CD948E671D670772876E7FC7E0A8D548C5EE2F68D38B1472B7836C4975BBD10","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N04/owl.check.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N04/owl.check.json","168","467F3F8D2E74AC7467E9DA885E956B9FEB2691021FCB48FFB3A53C3848910386","included public case-study artifact"
